id,value
166305,305
120341,341
261897,897
421936,936
173823,823
383071,71
46954,954
427103,103
197734,734
305411,411
32366,366
165487,487
458777,777
465230,230
225558,558
86826,826
493229,229
291067,67
419614,614
126393,393
344632,632
494473,473
325777,777
291771,771
267965,965
8839,839
95323,323
292048,48
37860,860
393983,983
386696,696
343039,39
433356,356
307996,996
430088,88
2283,283
228994,994
55016,16
300804,804
304703,703
332340,340
325009,9
400358,358
499627,627
313745,745
227997,997
436082,82
179375,375
341302,302
177573,573
177220,220
240116,116
307877,877
450501,501
176397,397
360380,380
192969,969
460340,340
252623,623
368505,505
287253,253
435096,96
265861,861
91282,282
28204,204
152429,429
192380,380
158955,955
286994,994
403758,758
237479,479
336950,950
188970,970
88463,463
2540,540
139861,861
177924,924
453683,683
229826,826
142717,717
268390,390
347702,702
476233,233
145811,811
447071,71
476008,8
74810,810
60906,906
89807,807
241830,830
116225,225
126900,900
398248,248
13576,576
453011,11
15006,6
468162,162
372751,751
541,541
338561,561
72151,151
492385,385
86611,611
238228,228
137609,609
304028,28
277426,426
205562,562
373727,727
453204,204
245033,33
465588,588
309276,276
57250,250
273841,841
115676,676
303841,841
13815,815
499397,397
307677,677
208688,688
158700,700
48091,91
365010,10
158950,950
22706,706
38780,780
164155,155
62431,431
226586,586
71617,617
410272,272
378805,805
103795,795
218806,806
346452,452
418619,619
91151,151
333533,533
38223,223
293619,619
252647,647
275440,440
86919,919
402772,772
2134,134
254125,125
107325,325
176114,114
447272,272
384639,639
298412,412
289371,371
215422,422
109327,327
186499,499
203470,470
143917,917
396751,751
142774,774
204265,265
186541,541
465742,742
389381,381
261086,86
318759,759
230899,899
255682,682
118098,98
413719,719
353432,432
52822,822
255573,573
359773,773
160739,739
164309,309
385288,288
348917,917
111082,82
305575,575
45991,991
407477,477
355368,368
243171,171
94527,527
339308,308
172527,527
292786,786
77812,812
383275,275
314843,843
100776,776
17197,197
170936,936
298203,203
301365,365
135918,918
41570,570
5849,849
462635,635
405855,855
43010,10
288637,637
324110,110
251533,533
165120,120
195525,525
465800,800
132455,455
364868,868
108130,130
56513,513
60799,799
265402,402
362045,45
371960,960
119611,611
68512,512
148700,700
196451,451
305802,802
315459,459
475188,188
111380,380
481321,321
405040,40
168874,874
358648,648
344142,142
374373,373
459332,332
320270,270
120252,252
62042,42
200408,408
416132,132
422973,973
364684,684
87941,941
33088,88
444498,498
150857,857
88761,761
251763,763
277074,74
47919,919
73909,909
26552,552
32561,561
36135,135
111356,356
2064,64
497729,729
86283,283
139131,131
34888,888
226985,985
105634,634
20803,803
308764,764
143633,633
370778,778
366533,533
455558,558
105642,642
442327,327
103637,637
343294,294
360518,518
339330,330
290330,330
161355,355
108979,979
275516,516
75928,928
99853,853
157878,878
47604,604
79340,340
325264,264
360687,687
228462,462
142175,175
127204,204
3109,109
239791,791
367714,714
478510,510
316129,129
160856,856
376549,549
277012,12
371605,605
481431,431
96003,3
59316,316
400277,277
339435,435
287655,655
439516,516
101024,24
317597,597
346930,930
154436,436
258888,888
336382,382
124389,389
168174,174
354574,574
286344,344
136681,681
134522,522
47412,412
279231,231
43042,42
268638,638
170947,947
391239,239
358518,518
31670,670
466814,814
386563,563
426522,522
10514,514
190706,706
327139,139
471161,161
99714,714
312696,696
274686,686
320209,209
457191,191
49750,750
120563,563
446802,802
57334,334
293111,111
392549,549
349441,441
400947,947
62040,40
244054,54
79689,689
239680,680
282560,560
490263,263
68107,107
341701,701
379294,294
329161,161
137121,121
18660,660
238352,352
16298,298
422122,122
410738,738
222232,232
435089,89
337670,670
48054,54
460347,347
467277,277
140026,26
169017,17
1395,395
375157,157
188505,505
436691,691
211082,82
483886,886
182912,912
288282,282
428255,255
172532,532
162255,255
187663,663
104042,42
396553,553
90783,783
133418,418
185861,861
174364,364
233870,870
180557,557
69046,46
185899,899
299915,915
283861,861
108567,567
54112,112
198022,22
468643,643
325172,172
140719,719
162963,963
412471,471
79901,901
455735,735
350934,934
122916,916
178230,230
366085,85
220160,160
412408,408
160718,718
217706,706
225089,89
315588,588
222095,95
357652,652
29220,220
43409,409
243539,539
271691,691
280216,216
205982,982
106567,567
237949,949
266226,226
129582,582
100566,566
344274,274
444858,858
323321,321
435159,159
345585,585
130605,605
412211,211
122145,145
72865,865
151691,691
244845,845
381180,180
304711,711
195028,28
495906,906
392411,411
377848,848
475782,782
200277,277
382976,976
484765,765
418303,303
273895,895
393361,361
100391,391
318492,492
366383,383
32881,881
350464,464
459297,297
352071,71
181481,481
320185,185
122889,889
68547,547
145467,467
253068,68
213057,57
4698,698
88102,102
191597,597
200572,572
235698,698
475992,992
430985,985
358085,85
380247,247
76679,679
469783,783
65620,620
365733,733
482554,554
260158,158
264819,819
147933,933
158546,546
294152,152
430542,542
391692,692
368718,718
269745,745
315756,756
369413,413
93369,369
302828,828
423209,209
388277,277
47021,21
55063,63
153406,406
421773,773
459269,269
338556,556
323360,360
7629,629
407663,663
210292,292
115376,376
96985,985
153163,163
86108,108
293194,194
371612,612
412485,485
66485,485
495109,109
455730,730
159150,150
432876,876
459354,354
98990,990
70228,228
308473,473
401870,870
370711,711
18854,854
489395,395
409891,891
421887,887
108120,120
16648,648
316374,374
53524,524
475572,572
327985,985
153865,865
232305,305
87307,307
53694,694
35116,116
249963,963
458838,838
255186,186
277448,448
52369,369
7008,8
224124,124
171540,540
295289,289
125679,679
424773,773
234938,938
213528,528
112474,474
499108,108
191324,324
141109,109
215894,894
480138,138
179563,563
319153,153
155615,615
85051,51
330423,423
356097,97
161490,490
158610,610
436164,164
409866,866
113397,397
287244,244
495390,390
331944,944
476006,6
176610,610
430598,598
57512,512
94253,253
341556,556
309953,953
73935,935
109019,19
97009,9
88491,491
327460,460
88975,975
371806,806
350242,242
234568,568
339021,21
93914,914
199371,371
483134,134
45491,491
22555,555
22325,325
17726,726
368812,812
212840,840
220503,503
117399,399
44719,719
223400,400
217665,665
77248,248
416435,435
69970,970
237999,999
136409,409
390900,900
248017,17
19394,394
477912,912
304318,318
205916,916
119455,455
489845,845
285121,121
190698,698
438519,519
210791,791
457835,835
200523,523
147146,146
477862,862
80753,753
122586,586
257538,538
387004,4
117937,937
393505,505
37268,268
481776,776
76621,621
76980,980
190414,414
410563,563
115448,448
485999,999
441931,931
419,419
371640,640
304327,327
92267,267
11835,835
410601,601
60343,343
46807,807
361989,989
479492,492
307370,370
287297,297
466672,672
499364,364
452222,222
114642,642
80908,908
456708,708
176732,732
300016,16
371536,536
196609,609
96724,724
418758,758
194140,140
231491,491
126990,990
160778,778
115407,407
430637,637
382232,232
246050,50
146810,810
125881,881
256249,249
73490,490
430143,143
165780,780
62600,600
123242,242
465215,215
291772,772
245187,187
416743,743
251709,709
396050,50
36709,709
1378,378
195112,112
18888,888
108957,957
222127,127
361107,107
28181,181
128765,765
107100,100
415888,888
321376,376
16389,389
181523,523
372547,547
116323,323
97693,693
442654,654
50788,788
237777,777
307083,83
168826,826
344658,658
275472,472
307097,97
440137,137
225131,131
4216,216
38260,260
494965,965
255566,566
179930,930
112335,335
69679,679
281647,647
67429,429
118595,595
200294,294
18306,306
485691,691
146300,300
352616,616
318960,960
126603,603
329328,328
188980,980
344913,913
